rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
96,Kyrgyz Republic,KGZ,1240,1240,0,AFC,09/04/2020
95,Cyprus,CYP,1251,1251,0,UEFA,09/04/2020
94,Vietnam,VIE,1258,1258,0,AFC,09/04/2020
93,Israel,ISR,1260,1260,0,UEFA,09/04/2020
91,Georgia,GEO,1267,1267,0,UEFA,09/04/2020
91,Madagascar,MAD,1267,1267,0,CAF,09/04/2020
89,Lebanon,LBN,1269,1269,0,AFC,09/04/2020
89,Congo,CGO,1269,1269,0,CAF,09/04/2020
88,Zambia,ZAM,1279,1279,0,CAF,09/04/2020
87,Belarus,BLR,1283,1280,0,UEFA,09/04/2020
86,Haiti,HAI,1285,1285,0,CONCACAF,09/04/2020
85,Uzbekistan,UZB,1286,1289,0,AFC,09/04/2020
84,Benin,BEN,1295,1295,0,CAF,09/04/2020
83,Gabon,GAB,1297,1297,0,CAF,09/04/2020
56,Mali,MLI,1389,1389,0,CAF,09/04/2020
106,Mozambique,MOZ,1200,1200,0,CAF,09/04/2020
55,Qatar,QAT,1396,1396,0,AFC,09/04/2020
53,Cameroon,CMR,1413,1413,0,CAF,09/04/2020
25,Venezuela,VEN,1517,1517,0,CONMEBOL,09/04/2020
24,Ukraine,UKR,1537,1537,0,UEFA,09/04/2020
23,Wales,WAL,1540,1540,0,UEFA,09/04/2020
22,USA,USA,1542,1542,0,CONCACAF,09/04/2020
21,Peru,PER,1544,1544,0,CONMEBOL,09/04/2020
20,Senegal,SEN,1555,1555,0,CAF,09/04/2020
19,Poland,POL,1559,1559,0,UEFA,09/04/2020
17,Sweden,SWE,1579,1579,0,UEFA,09/04/2020
17,Chile,CHI,1579,1579,0,CONMEBOL,09/04/2020
16,Denmark,DEN,1598,1598,0,UEFA,09/04/2020
26,Austria,AUT,1507,1507,0,UEFA,09/04/2020
15,Germany,GER,1602,1602,0,UEFA,09/04/2020
13,Italy,ITA,1607,1607,0,UEFA,09/04/2020
12,Switzerland,SUI,1608,1608,0,UEFA,09/04/2020
11,Mexico,MEX,1621,1621,0,CONCACAF,09/04/2020
10,Colombia,COL,1622,1622,0,CONMEBOL,09/04/2020
9,Argentina,ARG,1623,1623,0,CONMEBOL,09/04/2020
8,Spain,ESP,1636,1636,0,UEFA,09/04/2020
7,Portugal,POR,1639,1639,0,UEFA,09/04/2020
6,Croatia,CRO,1642,1642,0,UEFA,09/04/2020
5,Uruguay,URU,1645,1645,0,CONMEBOL,09/04/2020
4,England,ENG,1661,1661,0,UEFA,09/04/2020
14,Netherlands,NED,1604,1604,0,UEFA,09/04/2020
27,Tunisia,TUN,1506,1506,0,CAF,09/04/2020
28,Japan,JPN,1500,1500,0,AFC,09/04/2020
29,Turkey,TUR,1494,1494,0,UEFA,09/04/2020
52,Hungary,HUN,1416,1416,0,UEFA,09/04/2020
51,Egypt,EGY,1420,1420,0,CAF,09/04/2020
50,Scotland,SCO,1422,1422,0,UEFA,09/04/2020
49,Bosnia and Herzegovina,BIH,1430,1430,0,UEFA,09/04/2020
48,Jamaica,JAM,1438,1437,0,CONCACAF,09/04/2020
46,Ghana,GHA,1439,1439,0,CAF,09/04/2020
46,Costa Rica,CRC,1439,1439,0,CONCACAF,09/04/2020
45,Czech Republic,CZE,1446,1446,0,UEFA,09/04/2020
44,Norway,NOR,1451,1451,0,UEFA,09/04/2020
43,Morocco,MAR,1456,1456,0,CAF,09/04/2020
42,Australia,AUS,1457,1457,0,AFC,09/04/2020
41,Paraguay,PAR,1461,1461,0,CONMEBOL,09/04/2020
40,Korea Republic,KOR,1464,1464,0,AFC,09/04/2020
39,Iceland,ISL,1465,1465,0,UEFA,09/04/2020
38,Russia,RUS,1470,1470,0,UEFA,09/04/2020
37,Romania,ROU,1475,1475,0,UEFA,09/04/2020
36,Northern Ireland,NIR,1476,1476,0,UEFA,09/04/2020
35,Algeria,ALG,1482,1482,0,CAF,09/04/2020
34,Republic of Ireland,IRL,1486,1486,0,UEFA,09/04/2020
33,IR Iran,IRN,1489,1489,0,AFC,09/04/2020
32,Slovakia,SVK,1490,1490,0,UEFA,09/04/2020
31,Nigeria,NGA,1493,1493,0,CAF,09/04/2020
29,Serbia,SRB,1494,1494,0,UEFA,09/04/2020
54,Greece,GRE,1409,1409,0,UEFA,09/04/2020
107,Kenya,KEN,1199,1199,0,CAF,09/04/2020
3,Brazil,BRA,1712,1712,0,CONMEBOL,09/04/2020
109,Central African Republic,CTA,1184,1184,0,CAF,09/04/2020
183,Montserrat,MSR,921,921,0,CONCACAF,09/04/2020
182,Macau,MAC,922,922,0,AFC,09/04/2020
